R_arrest_pct,one_shaft_pct,five_shafts_pct,battery_pct
6.140350877192982892e+01,3.402777777777778567e+01,8.333333333333334281e+01,3.999999999999998224e+00
6.152882205513784442e+01,3.416680839002268044e+01,8.338095238095239381e+01,3.999999999999998224e+00
6.165413533834585991e+01,3.430612244897957908e+01,8.342857142857141639e+01,3.999999999999998224e+00
6.177944862155388961e+01,3.444571995464853842e+01,8.347619047619048160e+01,3.999999999999998224e+00
6.190476190476190510e+01,3.458560090702949452e+01,8.352380952380953261e+01,3.999999999999998224e+00
6.203007518796992770e+01,3.472576530612245449e+01,8.357142857142856940e+01,3.999999999999998224e+00
6.215538847117794319e+01,3.486621315192743964e+01,8.361904761904762040e+01,3.999999999999998224e+00
6.228070175438595868e+01,3.500694444444442865e+01,8.366666666666667140e+01,3.999999999999998224e+00
6.240601503759398838e+01,3.514795918367348548e+01,8.371428571428572241e+01,3.999999999999998224e+00
6.253132832080200387e+01,3.528925736961451065e+01,8.376190476190477341e+01,3.999999999999998224e+00
6.265664160401001936e+01,3.543083900226757521e+01,8.380952380952381020e+01,3.999999999999998224e+00
6.278195488721804907e+01,3.557270408163266495e+01,8.385714285714286120e+01,3.999999999999998224e+00
6.290726817042606456e+01,3.571485260770976566e+01,8.390476190476189799e+01,3.999999999999998224e+00
6.303258145363408715e+01,3.585728458049887735e+01,8.395238095238096321e+01,3.999999999999998224e+00
6.315789473684210265e+01,3.600000000000000000e+01,8.400000000000001421e+01,3.999999999999998224e+00
6.328320802005011814e+01,3.614299886621314783e+01,8.404761904761905100e+01,3.999999999999998224e+00
6.340852130325814784e+01,3.628628117913832796e+01,8.409523809523810201e+01,3.999999999999998224e+00
6.353383458646616333e+01,3.642984693877551905e+01,8.414285714285713880e+01,3.999999999999998224e+00
6.365914786967417882e+01,3.657369614512472111e+01,8.419047619047618980e+01,3.999999999999998224e+00
6.378446115288220852e+01,3.671782879818594836e+01,8.423809523809524080e+01,3.999999999999998224e+00
6.390977443609023112e+01,3.686224489795918657e+01,8.428571428571429180e+01,3.999999999999998224e+00
6.403508771929824661e+01,3.700694444444444997e+01,8.433333333333334281e+01,3.999999999999998224e+00
6.416040100250626210e+01,3.715192743764173144e+01,8.438095238095237960e+01,3.999999999999998224e+00
6.428571428571427759e+01,3.729719387755100968e+01,8.442857142857143060e+01,3.999999999999998224e+00
6.441102756892230730e+01,3.744274376417234151e+01,8.447619047619048160e+01,3.999999999999998224e+00
6.453634085213032279e+01,3.758857709750567722e+01,8.452380952380951840e+01,3.999999999999998224e+00
6.466165413533833828e+01,3.773469387755102389e+01,8.457142857142856940e+01,3.999999999999998224e+00
6.478696741854636798e+01,3.788109410430839574e+01,8.461904761904762040e+01,3.999999999999998224e+00
6.491228070175438347e+01,3.802777777777778567e+01,8.466666666666667140e+01,3.999999999999998224e+00
6.503759398496239896e+01,3.817474489795918657e+01,8.471428571428572241e+01,3.999999999999998224e+00
6.516290726817042867e+01,3.832199546485261266e+01,8.476190476190475920e+01,3.999999999999998224e+00
6.528822055137844416e+01,3.846952947845805681e+01,8.480952380952381020e+01,3.999999999999998224e+00
6.541353383458647386e+01,3.861734693877551194e+01,8.485714285714284699e+01,3.999999999999998224e+00
6.553884711779448935e+01,3.876544784580499226e+01,8.490476190476189799e+01,3.999999999999998224e+00
6.566416040100250484e+01,3.891383219954648354e+01,8.495238095238096321e+01,3.999999999999998224e+00
6.578947368421053454e+01,3.906250000000000000e+01,8.500000000000000000e+01,3.999999999999998224e+00
6.591478696741855003e+01,3.921145124716552743e+01,8.504761904761905100e+01,3.999999999999998224e+00
6.604010025062656553e+01,3.936068594104308005e+01,8.509523809523808779e+01,3.999999999999998224e+00
6.616541353383458102e+01,3.951020408163265074e+01,8.514285714285713880e+01,3.999999999999998224e+00
6.629072681704259651e+01,3.966000566893423951e+01,8.519047619047618980e+01,3.999999999999998224e+00
6.641604010025062621e+01,3.981009070294783925e+01,8.523809523809524080e+01,3.999999999999998224e+00
6.654135338345864170e+01,3.996045918367346417e+01,8.528571428571429180e+01,3.999999999999998224e+00
6.666666666666665719e+01,4.011111111111110716e+01,8.533333333333332860e+01,3.999999999999998224e+00
6.679197994987468689e+01,4.026204648526078245e+01,8.538095238095237960e+01,3.999999999999998224e+00
6.691729323308270239e+01,4.041326530612244028e+01,8.542857142857143060e+01,3.999999999999998224e+00
6.704260651629073209e+01,4.056476757369614461e+01,8.547619047619046739e+01,3.999999999999998224e+00
6.716791979949874758e+01,4.071655328798185280e+01,8.552380952380951840e+01,3.999999999999998224e+00
6.729323308270676307e+01,4.086862244897958618e+01,8.557142857142856940e+01,3.999999999999998224e+00
6.741854636591479277e+01,4.102097505668935185e+01,8.561904761904762040e+01,3.999999999999998224e+00
6.754385964912280826e+01,4.117361111111110006e+01,8.566666666666667140e+01,3.999999999999998224e+00
6.766917293233082376e+01,4.132653061224488766e+01,8.571428571428570820e+01,3.999999999999998224e+00
6.779448621553885346e+01,4.147973356009070756e+01,8.576190476190475920e+01,3.999999999999998224e+00
6.791979949874686895e+01,4.163321995464853131e+01,8.580952380952379599e+01,3.999999999999998224e+00
6.804511278195488444e+01,4.178698979591837315e+01,8.585714285714286120e+01,3.999999999999998224e+00
6.817042606516289993e+01,4.194104308390021174e+01,8.590476190476191221e+01,3.999999999999998224e+00
6.829573934837091542e+01,4.209537981859408973e+01,8.595238095238094900e+01,3.999999999999998224e+00
6.842105263157894512e+01,4.225000000000000711e+01,8.600000000000000000e+01,3.999999999999998224e+00
6.854636591478696062e+01,4.240490362811792124e+01,8.604761904761903679e+01,3.999999999999998224e+00
6.867167919799499032e+01,4.256009070294785346e+01,8.609523809523808779e+01,3.999999999999998224e+00
6.879699248120300581e+01,4.271556122448981085e+01,8.614285714285713880e+01,3.999999999999998224e+00
6.892230576441103551e+01,4.287131519274377922e+01,8.619047619047620401e+01,3.999999999999998224e+00
6.904761904761905100e+01,4.302735260770975145e+01,8.623809523809524080e+01,3.999999999999998224e+00
6.917293233082706649e+01,4.318367346938775597e+01,8.628571428571427759e+01,3.999999999999998224e+00
6.929824561403508199e+01,4.334027777777776436e+01,8.633333333333332860e+01,3.999999999999998224e+00
6.942355889724311169e+01,4.349716553287983345e+01,8.638095238095239381e+01,3.999999999999998224e+00
6.954887218045112718e+01,4.365433673469388509e+01,8.642857142857141639e+01,3.999999999999998224e+00
6.967418546365914267e+01,4.381179138321994770e+01,8.647619047619046739e+01,3.999999999999998224e+00
6.979949874686717237e+01,4.396952947845806392e+01,8.652380952380951840e+01,3.999999999999998224e+00
6.992481203007518786e+01,4.412755102040817690e+01,8.657142857142858361e+01,3.999999999999998224e+00
7.005012531328320335e+01,4.428585600907030795e+01,8.661904761904762040e+01,3.999999999999998224e+00
7.017543859649121885e+01,4.444444444444444287e+01,8.666666666666665719e+01,3.999999999999998224e+00
7.030075187969924855e+01,4.460331632653060296e+01,8.671428571428570820e+01,3.999999999999998224e+00
7.042606516290726404e+01,4.476247165532880956e+01,8.676190476190477341e+01,3.999999999999998224e+00
7.055137844611529374e+01,4.492191043083901292e+01,8.680952380952379599e+01,3.999999999999998224e+00
7.067669172932330923e+01,4.508163265306123435e+01,8.685714285714286120e+01,3.999999999999998224e+00
7.080200501253133893e+01,4.524163832199546675e+01,8.690476190476189799e+01,3.999999999999998224e+00
7.092731829573935443e+01,4.540192743764173144e+01,8.695238095238096321e+01,3.999999999999998224e+00
7.105263157894736992e+01,4.556250000000000711e+01,8.699999999999998579e+01,3.999999999999998224e+00
7.117794486215538541e+01,4.572335600907030084e+01,8.704761904761906521e+01,3.999999999999998224e+00
7.130325814536340090e+01,4.588449546485261266e+01,8.709523809523808779e+01,3.999999999999998224e+00
7.142857142857143060e+01,4.604591836734694255e+01,8.714285714285715301e+01,3.999999999999998224e+00
7.155388471177944609e+01,4.620762471655329051e+01,8.719047619047618980e+01,3.999999999999998224e+00
7.167919799498746158e+01,4.636961451247165655e+01,8.723809523809524080e+01,3.999999999999998224e+00
7.180451127819549129e+01,4.653188775510204067e+01,8.728571428571427759e+01,3.999999999999998224e+00
7.192982456140350678e+01,4.669444444444444287e+01,8.733333333333334281e+01,3.999999999999998224e+00
7.205513784461152227e+01,4.685728458049887024e+01,8.738095238095236539e+01,3.999999999999998224e+00
7.218045112781953776e+01,4.702040816326530859e+01,8.742857142857143060e+01,3.999999999999998224e+00
7.230576441102756746e+01,4.718381519274376501e+01,8.747619047619046739e+01,3.999999999999998224e+00
7.243107769423559716e+01,4.734750566893423951e+01,8.752380952380953261e+01,3.999999999999998224e+00
7.255639097744361266e+01,4.751147959183673919e+01,8.757142857142856940e+01,3.999999999999998224e+00
7.268170426065162815e+01,4.767573696145124984e+01,8.761904761904763461e+01,3.999999999999998224e+00
7.280701754385965785e+01,4.784027777777777146e+01,8.766666666666665719e+01,3.999999999999998224e+00
7.293233082706767334e+01,4.800510204081632537e+01,8.771428571428572241e+01,3.999999999999998224e+00
7.305764411027568883e+01,4.817020975056689025e+01,8.776190476190475920e+01,3.999999999999998224e+00
7.318295739348370432e+01,4.833560090702947321e+01,8.780952380952381020e+01,3.999999999999998224e+00
